,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2715,1,0,0,0,36,1,2,2,1,1,1,1,1,1,0,1,0,401,6522,0
132,1,0,0,0,64,1,0,0,0,0,0,2,0,0,2,0,0,691,2837,0
1672,1,0,1,1,70,1,2,0,2,2,2,2,0,0,2,0,1,1059,4248,0
811,1,0,0,0,68,1,2,1,2,0,0,2,2,2,2,1,1,74,5643,1
2526,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,321,1482,1
2892,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,342,1615,0
4129,1,0,1,1,28,1,0,1,0,0,2,0,2,0,0,1,3,1280,2513,0
2622,1,1,1,1,21,1,2,0,0,0,0,0,0,0,1,1,2,700,691,0
5275,1,0,0,0,3,1,2,0,0,0,2,0,0,0,0,0,2,738,4967,1
4640,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,1019,5501,1
5194,1,0,0,1,15,1,0,1,0,2,2,0,2,0,0,1,2,1385,1629,1
6298,1,0,1,1,41,1,2,1,0,2,0,0,0,0,0,1,0,1204,3233,0
1882,1,0,1,1,22,1,0,0,2,0,0,0,0,2,0,1,3,851,1386,0
2310,1,0,0,0,70,0,1,0,2,2,2,2,2,2,2,1,0,906,3791,0
6185,1,0,1,0,46,1,2,1,2,0,2,0,2,2,1,1,2,73,4385,0
2726,1,0,0,1,20,1,0,2,1,1,1,1,1,1,2,0,3,345,4789,0
696,1,0,1,0,70,1,2,0,0,2,2,2,2,2,2,1,0,1302,5107,0
3032,1,0,0,0,9,1,0,2,1,1,1,1,1,1,2,0,1,322,3179,0
1662,1,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,2,1014,2820,1
2873,1,0,0,0,18,1,2,1,0,0,0,0,2,2,0,1,0,1486,1999,1
5556,1,0,0,0,5,1,0,1,0,2,2,0,0,0,0,1,2,1200,6492,1
6608,1,0,0,0,15,1,0,0,0,2,0,2,0,0,1,1,1,766,360,1
6006,1,0,1,1,16,0,1,0,0,0,0,2,0,0,0,1,0,455,5363,0
1817,1,1,1,0,70,1,2,1,0,2,0,0,2,2,2,0,0,1553,5467,0
2164,1,0,1,1,68,1,0,1,2,2,2,2,2,0,2,1,1,22,5498,0
3872,1,0,1,1,72,1,0,1,0,0,2,2,2,2,0,0,2,57,6485,0
3254,1,1,0,0,9,1,0,1,0,2,2,0,2,2,0,1,2,34,1273,0
3513,1,0,1,1,3,1,0,2,1,1,1,1,1,1,0,0,0,352,2323,0
2177,1,1,1,0,70,1,2,1,2,2,2,0,0,2,2,1,1,49,5802,0
3593,1,0,0,0,71,1,0,1,0,0,0,0,0,0,0,1,3,1021,4576,1
4852,1,1,0,0,66,1,0,2,1,1,1,1,1,1,2,0,1,339,645,0
2533,1,0,1,1,64,0,1,0,2,0,0,0,2,2,2,0,1,698,2853,0
3914,1,0,0,0,33,1,0,2,1,1,1,1,1,1,1,0,3,331,5980,0
3012,1,0,1,1,50,1,2,0,2,2,0,2,0,0,2,1,1,945,3089,0
742,1,0,0,0,2,1,2,1,2,0,0,0,2,2,0,0,2,1557,17,1
